x y
56365.5 39254.9
-34356.1 25274.9
25406.6 58971
-9561.48 -85322.1
96509.2 -44958.4
-60637.4 19034.1
48394.2 92969.3
-58856.5 55082.1
-90971.6 14203.9
-5089.14 -86140.6
3267.66 674.982
-76972.2 -25887.1
67378 -34343
-7262.23 10201.4
-20483.7 64470
-35231.5 -64118.2
3724.88 30412.4
61156.7 -70868.5
-10616.7 -48404.8
-56190.7 -14107.5
6636.83 -16828.1
-95073.4 -44968.9
-23858.8 -53929.9
-89886.8 -14830.4
60273.9 5024.05
-971.037 -36458.4
-94301 22056.7
37654.4 73077.1
87713.7 -69607.8
-16721.5 -32769.9
94862.2 48047
3111.86 -1412.91
-21540.7 -35731.4
27718.6 67842.7
15863.8 71527.9
-46264.8 -77499.4
-45300.2 -41338.2
-22468.3 30841
4731.82 -12355.1
-83989.4 -34994.3
92668.9 15039.5
28547.3 98368
-62903.7 -33798.3
71445 -75190
-3406.04 -45276.5
-7959.96 -8543.84
-97229.5 95151.9
90043.2 -18770.2
-40579.5 17761.8
-50927.5 75284.2
-10710.3 2807.6
97784.8 43989.6
61469.4 -24683.5
-25169.5 -33798.8
62961.4 -9158.91
31206.9 55630.3
-94119.4 -40245.8
53998.3 -57023.1
25956 25443.3
-32213.2 -77450.1
80166.8 59826.9
14006.1 82937.2
54978.8 4049.33
-35833 -85600.8
-78188.9 13239.5
89683.4 11100.9
-83952.9 87468.3
-44909.6 77516.4
-37215.2 29921
-56282.4 -74253.8
-79237.9 74924.5
81376.5 -73357.3
-65321.3 35374.7
-30380.5 60634.7
-39182 37406.4
83184.6 -59015.2
-2766.75 -2809.27
-76078 -47788
-98759.9 -11911
-33388.8 -76948.8
-98671.5 -43705.3
34152.1 -82624.4
-56237 89242.5
94892 6547.77
19163.5 -61390.4
32294 39925.6
-86465.9 13670.5
66568.3 -51787.1
-50954.8 -63812.2
-91152.4 9863.22
73594.2 92032.2
50848 -29172.6
-10777 74770
23039.4 -9537
-37141 89650.7
13514.2 -35812.6
-54054.6 -52333.7
-18437 -10291.7
-63091.2 -23545
96256.1 56072.4
15064.6 28550.1
-4002.05 28598.7
-57779.5 -37433.8
76811.6 -8734.27
-1245.97 85659.2
-98871 -27651.8
77691.4 51976.9
43175.7 -33085.7
26746.9 -33784.9
57377.3 89605.9
-44134.2 -29108.4
-46206.7 1811.13
18557.8 35356.3
91519.4 55466.7
-88188.7 87775.5
11539 26875.9
16325.6 -92463
-44525.4 58546.1
-29896.8 -67713.8
-50188.1 68857.2
-82054.7 -49059.2
-58794.5 95636.7
-97082.3 84381.1
-37448.9 29664.6
-49403.8 -80071.6
19270.5 6461.98
-9180.03 73063.8
-91726.9 -90622.2
8420.12 99792.6
64844.5 20231.4
87568.1 -23616.5
-52892.7 3893.71
-16079.5 2581.86
-37560.2 54023.7
34868 12251.7
22880.9 52813.4
63192.5 64086.4
48450.1 66110.2
48467.5 -88998.8
-4225.11 99063.7
-69070.4 -84954.6
5525.66 21749.5
88109.2 13798.8
31127.4 -3470.67
13591.3 -4028.16
-83239.3 1159.42
72355.3 -36132
-94946.9 -43724.2
66449.9 -32507
-89700.5 1317.91
79744.7 33180.4
-45868.7 42937.2
-2733.18 -97418.6
9047.41 -54265.7
-86417.5 -95177.7
-55202 -55487.9
-80132.3 50323.6
66261.6 -92023.1
-35877.6 -2611
4506.25 77713.7
93360.8 21267
-21126.8 65716.2
85135 -16073.7
-78008 51584.9
51419.3 -67708.5
-47097.2 31163.9
65472 7034.07
-25898.9 -37261.2
9615.44 83148.5
8473.13 23198
87970.8 53271.1
67710.1 -92161.5
3594.76 33971.7
-84184.6 67717.2
-68639.3 20321.6
45430.9 -75278.5
-58411.4 -75695.9
90437.7 -73276.4
8230.38 -87570.3
78308.5 -40350.4
-55278.7 -68788.7
90813.5 -89806.7
38245.4 -35085.4
-27067.9 -52139.2
-51936.9 81405.2
71058.8 -63966.1
34676.3 38768.8
-56127.7 -61728.9
-27259.4 -40312.3
-94011.7 4101.26
80009.4 51419.2
28822.8 -78402
75723.3 19260.5
-51678.4 -16046.3
31690.3 -73369.9
43603.3 76411.6
-42158.5 34416.8
86604.8 96086.8
99331.5 -40463
-56052.4 -52605.4
-59057.8 -84993.6
-16571.6 75618.5
53775.2 27300.8
-86110.4 -73484.2
86988.5 -80122.1
30617 66997.9
71297.1 -40560.2
88595.9 47020.4
78700.4 -63082.5
-69025.9 10390.6
-36452.3 74577.4
-13197.8 21389.1
8994.26 -26593
17476 8325.73
32944 61423.6
55720.3 73886.2
76430 -60851.3
49504.7 30205.2
66449.5 63394.3
56721 53438
83272.3 -12662
20435.9 54569.4
46777.9 9031.78
1589.86 25478.3
45949.3 32564
-64131.1 -90503
7141.39 22671.1
30886.1 -83864.3
96078.1 -51637.9
24461.4 29022.1
-90214.3 -19818.3
2908.27 86215.7
19330.4 -47587
16420.9 -14220.1
-84192.7 -26858.1
-60782.2 99079.6
60479.9 59653.7
53649 7257.81
-31314.5 -44761.1
-67263.9 -85365.2
87802.8 -31395
-75868.2 -5055.76
91276 55018
11079.9 87354.1
-96619.9 -64458.7
16376.2 -86834.3
15722.9 -80715.5
99381.4 -64946.7
-28302.5 15802.3
20833.2 -12495.2
88944.2 60051
-13415.6 49424.1
19704.7 -59766.6
-43318.1 88390.3
-4527.73 -10582
-96974.9 -16724.9
58022.9 -72843.1
78219.4 49298.9
82174.9 -10700.7
36653.1 85555
24840.5 -46970.7
98720.7 -59436.5
-27686.2 98102.1
-24383.2 44011.3
13904.4 96449.9
-68483.9 2848.55
56500.9 18100.5
-47727.4 -23794.4
58333.9 8954.52
-35404.1 -46193.8
98372.5 -32379
37081.3 56395.4
-5222.09 15300.7
5694.33 -23047.2
-95400.1 -57652.6
-37492.2 29440.4
-4623.26 -38771.5
70003.9 67690.6
-40669.4 -54379.3
11701.9 73235
-57929.4 43218
-23916.5 98571.5
-38681.5 28356.2
-25222.9 -80347.5
-62689.3 39373
-26541.4 -64316.8
-93006 -89460
92078.6 1771.94
25840.6 -2227.11
78724.8 30440.6
40120.3 -58767.5
-40119 -64503
2461.02 -70115.1
-96812.4 61791.6
-24494.4 14889.5
35026.6 17576.1
-41892.5 -88889.9
16147.6 19426.1
39466.3 90924.7
39078.5 76777
30297.8 -87462.8
-87539.8 37291.8
-76922.9 -95461.3
-60936.2 48917.8
2311.64 -82211.5
-20641.7 -57568.1
-40979 39239.3
-22071 61482.1
69124.2 -18883.4
23273.7 -55370.2
96006.1 -41699.7
62205.9 -45886.3
-30589.6 -21646.5
73539.7 -91123.3
-30721.7 12618.3
85653.7 99576
25155.5 98113.9
36867.9 48232.6
-97347.4 75931.6
-2849.63 4964.28
93720.1 76508.7
47396.2 -47258.8
15748 -74674.8
-85776.8 -15127.8
6441.82 37496.9
29502 2447.93
95797.1 -8292.11
56561.6 -34792.4
70061.4 30101.3
-25915.7 -60660.3
-57280.4 -40262
-61084.3 67875.1
-42148.1 75783.5
16107.7 -39495.5
51715.2 -86742
65468.8 45435.3
89766.7 12865
98176.4 5514.71
38190.3 -87600.4
90386.9 -55367.9
49896.5 19888.9
47080 45693.7
-88403.2 3641.6
-89098.8 81658.2
-66257.1 -15014.5
-79002.1 -23537.5
44723.5 -40086.4
-55662.4 -97424.7
-64302.9 60445.2
-36920.1 87412.3
73703.3 -71451.3
32847.5 63470
41413.7 31024
-31015.3 -20396
43423.6 -40628.4
24236 -6679.9
79260.5 -28683.9
-60986.2 90857.4
74957.7 -50085
72515.6 -91299.4
34900.4 93513.5
-14836.9 -20376.1
-46573 29500.7
-17800.8 -10875.8
-10054 45279.1
-23463.6 -36350.8
73827.8 -90616
-72880.8 15241.5
40407.9 -3896.13
94845.5 -16168.5
55475.5 19081.5
77151.6 34736
90397.6 -83834.6
25593.4 65355.2
-33919.7 -1891
74055.8 -99019.2
-8377.53 -40781.1
-19395.3 45049.5
88719.7 62803.9
-65826.3 -21334.4
8082.98 10710.1
42314.8 -18089.3
20094.1 69434
97152.2 -39498
-34462.1 91997.7
44333.6 -78986.6
11079.2 21485.2
55749.4 1476.75
37650.6 -18657.2
-33168 -96269.1
79451.8 -59112.2
-95288.3 -28925.7
106.737 -14683.7
-83876.2 -11173.6
-51879.8 -49702.5
67492 56203.2
61007.6 9806.87
-61886 -18898.3
-20759.1 -64733.8
41603.8 44778.8
-72736.1 -14062.7
65792.2 38343
-92577.5 21541.7
-60180.2 45073.1
-97115.5 6651.78
48804 82336.3
47539.6 53515.7
-46589.4 -52353.7
-61168 -30465.5
36472.7 -13047.7
19832 3964.73
-56844.5 -19160.4
-86228.4 -18730.6
61941.4 -6987.5
16535.6 3545.14
-62208.7 43799.4
89482.5 -96416.5
-17857.5 96905
25125.2 21962.3
41978.1 28009.7
-71385.9 -9217.93
10346 76153.6
-55702.3 63756.7
-76200.1 -16870.2
-66708.8 60272.6
70082 53123.1
-35762.6 -86762.5
-66037.2 -21991
-5493.12 95904.1
71021.5 -88957.5
-550.746 -91187.2
54841.9 -11068.3
-87603.7 -63015.6
-14163.3 37521.6
58946.7 -72185.2
-34468.7 87560.8
18596.9 75877.3
63714.4 62894.6
39634 87514.3
-53975.6 72925.1
47787 -83893.6
26048.3 -87975.7
-70656.1 60011
-9966.7 23850.8
55915.1 -38945.2
34893.2 -44635.6
-30132.4 -10264.9
44296.1 -17736.1
26719.5 -69867.1
-80214.5 -14333.8
-42052.3 -14683.3
-26773 76544.6
-38806 -63058.6
39439.2 -99172
-75544.3 85463.6
73753.1 72242.7
-98430 -198.575
84267 -69086.1
-40187.5 -25699.7
54764.6 -84272.4
35355.1 -10342.2
-28908 -94777.4
79393 -84611.9
-12513.5 6112.53
-54479 7271.99
91778.8 3468.65
92588.7 -34994.3
-19986.8 -46217.3
1947.12 -80547.6
-45389.3 26402.8
-95084 -71636.1
-1354.51 -93514
28165.3 -17087.5
-62600.1 87977.8
57212.8 92164.5
-96294.7 -7432.12
-18177.7 -25202.7
-2209.49 -38784.7
